City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto baquerizo moreno,-0.9,-89.6,23.75,92,58,4.16,EC,1713783374
1,bredasdorp,-34.5322,20.0403,23.82,50,5,4.25,ZA,1713783484
2,savanna-la-mar,18.219,-78.1332,24.97,87,3,1.73,JM,1713783487
3,tazacorte,28.629,-17.9293,21.54,76,75,3.09,ES,1713783489
4,arraial do cabo,-22.9661,-42.0278,23.92,69,0,3.6,BR,1713783492
5,hawaiian paradise park,19.5933,-154.9731,20.73,97,100,2.06,US,1713783502
6,ibiruba,-28.6275,-53.0897,16.84,79,100,2.14,BR,1713783504
7,grytviken,-54.2811,-36.5092,0.19,78,54,11.92,GS,1713783507
8,udachny,66.4167,112.4,1.92,100,100,0.31,RU,1713783508
9,yellowknife,62.456,-114.3525,-0.71,94,0,2.57,CA,1713783509
10,mount isa,-20.7333,139.5,17.87,63,32,2.06,AU,1713783510
11,thompson,55.7435,-97.8558,-4.91,58,20,1.03,CA,1713783076
12,santana,-0.0583,-51.1817,25.1,100,40,2.06,BR,1713783513
13,waitangi,-43.9535,-176.5597,9.34,79,43,2.68,NZ,1713783514
14,kodiak,57.79,-152.4072,2.73,93,100,0.0,US,1713783515
15,polyarnyy,69.1989,33.4478,-6.7,66,5,10.16,RU,1713783245
16,petropavlovsk-kamchatsky,53.0452,158.6483,2.1,85,0,3.0,RU,1713783434
17,lompoc,34.6391,-120.4579,12.66,87,100,0.0,US,1713783522
18,mata-utu,-13.2816,-176.1745,29.35,76,94,2.57,WF,1713783524
19,port-aux-francais,-49.35,70.2167,5.37,82,14,11.14,TF,1713783526
20,iqaluit,63.7506,-68.5145,-19.06,70,40,2.57,CA,1713783529
21,richards bay,-28.783,32.0377,33.83,34,78,1.47,ZA,1713783315
22,utrik,11.2278,169.8474,28.03,77,100,7.02,MH,1713783533
23,puerto natales,-51.7236,-72.4875,0.16,93,48,2.08,CL,1713783535
24,ushuaia,-54.8,-68.3,5.81,70,100,1.03,AR,1713783538
25,klaksvik,62.2266,-6.589,8.51,79,26,2.33,FO,1713783540
26,quepos,9.4236,-84.1652,25.58,81,94,1.08,CR,1713783542
27,albany,42.6001,-73.9662,3.15,74,8,2.42,US,1713783545
28,edinburgh of the seven seas,-37.0676,-12.3116,16.69,85,43,7.79,SH,1713783547
29,shenjiamen,29.9576,122.298,14.03,94,99,2.59,CN,1713783550
30,laojunmiao,39.8333,97.7333,12.91,16,3,4.92,CN,1713783551
31,adamstown,-25.066,-130.1015,22.17,75,61,11.4,PN,1713783554
32,ust-tsilma,65.441,52.1498,-5.22,75,100,3.13,RU,1713783557
33,severo-yeniseyskiy,60.3725,93.0408,-2.46,91,100,3.58,RU,1713783558
34,talnakh,69.4865,88.3972,-13.77,87,90,1.5,RU,1713783560
35,saint-joseph,-21.3667,55.6167,28.21,81,23,0.98,RE,1713783563
36,minas de marcona,-15.2119,-75.1103,16.23,90,43,2.13,PE,1713783566
37,constantia,44.1833,28.65,13.38,79,71,9.12,RO,1713783567
38,fale old settlement,-9.3852,-171.2468,29.35,76,5,2.96,TK,1713783570
39,georgetown,5.4112,100.3354,32.97,58,20,5.14,MY,1713783572
40,san patricio,28.017,-97.5169,18.8,68,80,4.38,US,1713783574
41,port macquarie,-31.4333,152.9167,16.61,70,21,1.65,AU,1713783367
42,avarua,-21.2078,-159.775,25.03,78,64,1.54,CK,1713783578
43,dryden,49.7833,-92.7503,2.16,55,40,3.09,CA,1713783581
44,campos dos goytacazes,-21.75,-41.3,20.03,94,0,1.54,BR,1713783584
45,bratsk,56.1325,101.6142,4.27,96,100,3.9,RU,1713783564
46,knyaze-volkonskoye,48.4642,135.4567,8.19,65,19,3.79,RU,1713783589
47,invercargill,-46.4,168.35,9.45,81,41,2.68,NZ,1713783592
48,port elizabeth,-33.918,25.5701,23.94,73,20,8.75,ZA,1713783593
49,malango,-2.9627,119.9001,21.72,99,100,0.77,ID,1713783596
50,mount gambier,-37.8333,140.7667,11.11,57,54,2.05,AU,1713783359
51,afif,23.9065,42.9172,30.24,15,0,6.16,SA,1713783601
52,cold lake,54.4502,-110.2017,2.27,91,100,2.83,CA,1713783606
53,puerto maldonado,-12.6,-69.1833,24.85,87,97,0.56,PE,1713783612
54,hermanus,-34.4187,19.2345,24.33,71,34,3.58,ZA,1713783614
55,afega,-13.7973,-171.8531,26.67,94,25,4.71,WS,1713783618
56,margaret river,-33.95,115.0667,15.11,55,5,6.57,AU,1713783534
57,goba,7.0167,39.9833,16.7,78,98,3.01,ET,1713783622
58,west island,-12.1568,96.8225,28.99,79,75,7.72,CC,1713783624
59,moreira sales,-24.0622,-53.0069,20.64,82,0,2.01,BR,1713783627
60,benguela,-12.5763,13.4055,31.18,65,70,3.99,AO,1713783629
61,port lincoln,-34.7333,135.8667,17.0,58,29,1.83,AU,1713783631
62,lagoa formosa,-18.7786,-46.4075,19.37,69,96,0.52,BR,1713783633
63,sampit,-2.5333,112.95,26.16,94,94,1.49,ID,1713783636
64,longyearbyen,78.2186,15.6401,4.91,56,40,6.69,SJ,1713783638
65,nar'yan-mar,67.6713,53.087,-9.38,90,81,1.79,RU,1713783641
66,stanley,54.868,-1.6985,8.07,93,75,3.09,GB,1713783643
67,belgrade,44.804,20.4651,13.55,51,40,3.09,RS,1713783467
68,hithadhoo,-0.6,73.0833,29.64,69,98,0.38,MV,1713783649
69,bilibino,68.0546,166.4372,-17.32,91,34,2.07,RU,1713783651
70,kidal,18.4411,1.4078,39.97,6,65,3.23,ML,1713783654
71,tiksi,71.6872,128.8694,-8.18,94,100,7.12,RU,1713783657
72,maamba,-17.3667,27.15,30.78,27,0,4.14,ZM,1713783659
73,liezen,47.5667,14.2333,5.9,51,100,2.24,AT,1713783661
74,wailua homesteads,22.0669,-159.378,21.44,81,20,8.23,US,1713783664
75,kulhudhuffushi,6.6221,73.07,30.24,74,75,4.01,MV,1713783667
76,college,64.8569,-147.8028,1.78,66,75,0.59,US,1713783670
77,burley,42.5357,-113.7928,6.22,36,100,4.47,US,1713783671
78,vadso,70.0744,29.7487,-3.91,54,20,10.29,NO,1713783674
79,egilsstadir,65.2653,-14.3948,9.28,32,53,2.11,IS,1713783676
80,leticia,-4.2153,-69.9406,24.03,100,20,1.03,CO,1713783417
81,vila franca do campo,37.7167,-25.4333,18.27,99,100,2.32,PT,1713783680
82,bethel,41.3712,-73.414,5.27,74,24,1.73,US,1713783683
83,blackmans bay,-43.0167,147.3167,13.07,85,100,1.5,AU,1713783686
84,port alfred,-33.5906,26.891,17.88,93,53,1.79,ZA,1713783692
85,ola,59.5833,151.2833,-0.48,92,34,0.66,RU,1713783700
86,chefchaouene,35.1688,-5.2636,20.17,33,26,1.27,MA,1713783703
87,vernon,50.2581,-119.2691,6.2,87,51,1.03,CA,1713783594
88,holualoa,19.6228,-155.9522,19.75,85,67,1.6,US,1713783708
89,port mathurin,-19.6833,63.4167,26.95,81,55,6.71,MU,1713783710
90,uturoa,-16.7333,-151.4333,28.22,74,2,0.8,PF,1713783713
91,chibougamau,49.9168,-74.3659,-15.8,77,65,4.29,CA,1713783715
92,grand falls-windsor,48.9332,-55.6649,1.95,89,100,0.45,CA,1713783717
93,palapye,-22.546,27.1251,32.53,15,0,2.91,BW,1713783721
94,saint-philippe,-21.3585,55.7679,28.77,82,22,0.24,RE,1713783522
95,isafjordur,66.0755,-23.124,7.02,65,0,2.57,IS,1713783728
96,enriquillo,17.9,-71.2333,24.62,88,24,4.74,DO,1713783730
97,queenstown,-31.8976,26.8753,27.33,29,99,8.2,ZA,1713783733
98,lanark,55.6737,-3.7817,13.97,74,100,2.54,GB,1713783735
